State_Code,Population,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Gender Distribution,Gender Distribution,Marital Status,Marital Status,Marital Status,Marital Status,Marital Status,Citizenship,Citizenship,Year of Entry,Year of Entry,Ability to speak English,Educational Attainment of population aged 25 or over,Educational Attainment of population aged 25 or over,Educational Attainment of population aged 25 or over,Educational Attainment of population aged 25 or over,Labor Force by Gender,Labor Force by Gender,Unemployment by Gender,Unemployment by Gender,Employment Type,Employment Type,Employment Type,Employment Type,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Industry,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Employment by Occupation,Poverty Status,Poverty Status,Poverty Status,Median Personal Earnings,Median Personal Earnings
State_Code,Population,Age 0 to 4,Age 05 to 09,Age 10 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 plus, Female, Male,Married,Widowed,Divorced,Separated,Never married or under 15 years old,U.S. citizen by naturalization,Not a citizen of the U.S., Entered US before 2000, Entered US in 2000 or later,Speaks English Less Than Very Well,Less than high school,High School Graduate/GED or Alternative Credential,Some College/Associate Degree,Bachelors Degree or Higher,Males In Civilian Labor Force,Females In Civilian Labor Force,Unemployed Males,Unemployed Females,Private Wage and Salary Workers,Government Workers,Self employed Not incorporated,Self employed Incorporated,"Accommodation and Food Services; and Arts, Entertainment and Recreation",Construction,Education,"Finance, Insurance, and Real Estate",Health Care & Social Assistance,Information,Manufacturing,Other Services,"Professional, Scientific, Management, and Administrative Services",Public Administration,Retail,"Transportation, Warehousing, & Utilities & Natural resources",Wholesale Trade,Other,Management & Professional,Services,Sales and Office,Construction and Extracion,Maintenance and Repair,"Production, Transportation and Material Moving",Educational Instruction and Library Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Healthcare Practitioner and Technical Occupations,Other,Individuals Below Poverty,Individuals Above Poverty,Not Determined,Median Personal Earnings,Median Personal Earnings (excl 0 and neg)
1,521,0,0,0,0,0,299,0,141,81,0,0,0,0,0,0,0,0,283,238,283,0,0,0,238,460,61,238,283,81,0,0,222,299,238,202,0,0,379,61,0,0,0,0,61,0,0,0,0,0,238,0,0,141,0,0,319,141,0,0,0,0,61,0,0,0,0,521,0,35000,69000
2,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44,0,44,0,44,0,0,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,5500,5500
4,1225,0,0,87,0,124,0,116,177,187,88,109,0,224,0,0,113,0,844,381,786,113,122,0,204,773,452,679,546,280,98,267,267,506,280,415,0,0,442,282,117,0,0,0,198,71,192,0,0,26,99,84,54,0,117,0,554,172,209,0,0,54,198,0,38,0,66,1072,87,40000,49600
5,95,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,95,0,95,0,0,0,0,0,0,95,0,0,0,95,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,95,0,36000,36000
6,35588,651,473,2575,1814,4452,4528,4702,4869,3608,2317,2269,1049,457,453,789,137,445,18546,17042,19245,891,3548,1245,10659,13287,22301,14897,20691,8289,1699,3817,7091,17468,13047,11364,828,486,19165,3049,3717,1258,2996,919,3561,1814,2401,1391,1412,2585,4728,839,1985,2074,579,315,17314,5926,3704,332,0,2438,2674,1717,888,494,3155,31494,939,30000,40000
8,2811,0,0,133,632,194,307,150,460,286,183,163,0,110,193,0,0,0,1873,938,1473,0,205,0,1133,1442,1369,1247,1564,296,74,328,122,1522,922,794,0,0,1036,678,0,190,191,152,538,185,0,0,158,0,357,140,89,94,0,0,1690,94,293,74,0,162,336,0,102,60,90,2425,296,16000,38500
9,15597,0,64,921,508,1204,2305,2524,2301,1693,1269,708,715,676,527,182,0,0,8129,7468,8591,117,1415,890,4584,4041,11556,6017,9580,9763,3797,5048,2363,2896,6645,5216,58,271,7025,772,3003,1583,532,3011,533,966,698,215,642,2339,2761,320,198,364,113,54,4063,4482,2093,2817,260,909,600,139,180,54,1158,14439,0,23000,26000
10,1300,0,0,565,157,0,55,69,170,0,51,172,61,0,0,0,0,0,1026,274,368,0,210,0,722,269,1031,408,892,243,0,173,116,289,190,461,0,0,997,0,51,173,486,153,0,66,0,0,145,177,106,0,0,88,0,0,386,718,61,84,0,0,0,51,0,0,73,741,486,7000,7000
11,716,0,0,172,88,54,358,44,0,0,0,0,0,0,0,0,0,0,269,447,105,0,0,0,611,305,411,396,320,169,0,0,0,456,447,100,0,0,477,107,44,0,172,0,0,44,56,54,0,0,195,107,0,0,0,0,390,91,44,0,0,0,0,54,56,0,110,346,260,6000,45000
12,74905,362,850,4964,3870,6905,7871,9739,9579,7760,7355,4857,2981,2720,1901,2107,390,694,40793,34112,42434,2552,10575,2490,16854,29918,44987,31799,43106,31326,6414,18031,15823,24591,25464,23318,581,1102,36369,3794,8025,7222,6850,7926,3435,4082,2849,659,2254,4503,9357,1349,6502,3447,2283,382,30564,12680,14644,5152,1590,3726,2558,1468,1829,442,8308,66355,242,20900,30000
13,13410,32,70,1318,2289,751,1162,1530,1740,1566,802,645,1263,82,80,80,0,0,8068,5342,6955,401,1565,78,4411,4725,8685,3629,9781,5381,511,3186,2908,3096,4068,5042,30,145,5599,353,3182,501,1165,577,512,231,666,706,690,2442,2299,178,367,44,0,145,5454,4303,1091,522,0,889,366,438,202,145,1130,11876,404,15000,22000
15,1501,0,0,107,208,276,161,54,180,236,0,279,0,0,0,0,0,0,1239,262,790,197,233,0,281,575,926,404,1097,212,27,132,542,485,262,909,0,61,1015,125,132,122,269,0,0,0,171,70,161,0,242,0,427,54,0,0,378,468,422,0,0,169,0,0,64,0,27,1474,0,13000,40500
16,730,0,0,103,387,86,74,0,0,0,80,0,0,0,0,0,0,0,166,564,240,0,0,0,490,80,650,0,730,576,0,0,86,154,0,80,0,0,387,80,160,0,0,0,80,0,74,0,387,0,86,0,0,0,0,0,564,0,0,0,0,86,80,0,0,0,189,154,387,0,7400
17,6888,200,0,162,1570,1413,1242,581,149,441,340,396,176,0,92,0,126,0,3235,3653,3144,302,489,0,2953,1773,5115,1373,5515,1524,276,753,765,3162,1774,1845,0,163,4715,302,94,180,100,0,1316,912,400,0,581,251,1067,0,521,0,143,0,3660,515,1242,0,0,238,457,575,127,0,1299,4715,874,15000,21600
18,3438,0,151,437,846,407,298,263,420,72,273,141,0,0,0,69,61,0,1085,2353,1565,0,123,0,1750,1196,2242,271,3167,1126,0,499,91,1414,1283,298,92,0,1748,502,0,195,438,195,999,0,55,0,464,0,91,92,38,73,0,0,1880,408,349,0,0,50,147,348,164,92,50,2596,792,1300,20000
19,981,0,0,41,240,181,62,0,0,0,224,0,0,0,0,233,0,0,519,462,298,233,0,0,450,697,284,697,284,243,0,0,233,467,41,224,0,0,41,464,62,0,0,0,265,0,302,0,0,0,0,0,0,0,0,0,414,41,0,0,0,0,224,0,302,0,409,286,286,8900,8900
20,1082,0,0,150,373,105,38,77,170,169,0,0,0,0,0,0,0,0,372,710,559,0,0,0,523,0,1082,0,1082,257,0,77,0,482,275,203,0,0,597,0,182,0,0,16,373,0,0,0,208,0,182,0,0,0,0,0,511,467,88,0,0,16,0,0,0,0,16,978,88,400,45000
21,969,0,0,0,416,0,89,464,0,0,0,0,0,0,0,0,0,0,490,479,553,0,0,0,416,89,880,135,834,416,0,0,89,464,213,246,0,0,254,329,0,0,0,0,0,89,418,0,0,0,76,0,0,0,0,0,708,0,0,0,0,0,0,0,261,0,0,553,416,3900,45500
22,1218,0,0,24,0,544,183,102,0,110,204,0,51,0,0,0,0,0,799,419,619,51,0,0,548,471,747,521,697,664,196,189,137,672,395,748,0,0,860,0,104,179,0,298,100,154,241,0,61,0,36,0,0,253,0,0,464,36,179,196,102,0,0,0,137,0,36,1158,24,30000,30000
23,592,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,323,0,592,0,269,323,0,0,0,323,269,323,269,0,0,0,592,0,0,0,0,0,269,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,323,269,0,0,0,0,0,0,0,0,0,592,0,43400,43400
24,9001,0,118,859,260,326,1560,1636,1758,278,862,375,545,0,234,190,0,0,4804,4197,4654,299,862,373,2813,3296,5705,4206,4795,2966,1475,2238,966,3085,3003,3829,122,759,4556,1087,1133,614,302,1333,551,157,868,0,112,888,1647,693,310,122,464,346,2567,1990,1186,1074,122,215,519,311,671,346,1064,7925,12,26000,31700
25,61019,207,317,1716,3849,3891,9862,12497,7299,8361,6401,2849,1416,1126,628,466,134,0,30916,30103,37047,725,7287,2002,13958,20158,40861,22246,38773,33953,6438,28647,11978,7867,26599,21735,479,1527,36623,1734,11688,1638,7067,10296,1978,1489,7188,64,1932,7619,9251,26,2807,1334,686,509,14924,20991,6571,8359,1345,4798,1033,254,1828,535,9246,51527,246,25000,30000
26,4499,0,0,778,212,247,1071,435,250,208,256,119,584,0,120,124,95,0,3047,1452,2271,0,629,119,1480,887,3612,990,3509,1385,244,314,1091,1860,995,2034,0,37,2773,408,140,0,284,0,325,161,508,0,925,345,433,83,145,112,0,0,2879,568,349,0,42,439,193,0,0,29,1351,2691,457,14800,30600
27,1332,0,0,32,338,117,291,123,164,16,37,134,80,0,0,0,0,0,660,672,689,0,156,0,487,505,827,468,864,416,189,0,332,441,546,161,0,0,948,0,0,53,0,0,37,0,177,53,292,0,164,0,155,123,0,0,745,16,22,0,39,173,37,0,300,0,156,979,197,10000,40000
28,316,0,0,0,116,0,0,0,116,0,0,0,0,0,84,0,0,0,200,116,116,0,84,0,116,0,316,200,116,116,0,84,116,0,116,84,0,0,200,0,116,0,200,0,0,0,0,0,0,0,116,0,0,0,0,0,0,200,116,0,0,0,0,0,0,0,0,200,116,22000,22000
29,1758,0,0,60,0,191,108,0,0,217,1182,0,0,0,0,0,0,0,839,919,1391,0,307,0,60,1385,373,1486,272,390,156,0,0,1542,703,621,0,0,757,684,0,0,151,0,822,116,191,0,0,0,74,0,87,0,0,0,507,151,87,0,0,0,822,0,191,0,257,1441,60,48000,56000
31,270,0,0,0,205,0,0,0,0,0,0,0,0,0,0,65,0,0,65,205,0,0,65,0,205,65,205,65,205,0,0,65,0,0,0,65,0,0,65,0,0,0,65,0,0,0,0,0,0,93,0,0,0,0,0,0,112,65,0,0,0,93,0,0,0,0,0,65,205,800,800
32,3289,0,0,0,216,740,0,448,438,466,466,295,180,0,0,0,40,0,2050,1239,1122,98,1453,173,443,1685,1604,2092,1197,785,588,554,1241,690,926,1319,0,63,2232,61,443,65,858,0,61,254,281,80,0,464,612,0,202,66,53,0,690,1217,561,0,173,230,61,222,135,0,40,2936,313,22000,25000
33,2234,309,0,380,0,102,562,352,0,142,153,234,0,0,0,0,0,0,894,1340,1233,0,81,0,920,564,1670,407,1827,1022,113,897,382,153,1031,411,305,0,1165,229,305,0,102,194,154,0,0,75,335,0,582,0,0,257,0,0,918,220,154,194,0,673,75,0,0,0,0,2080,154,23400,32000
34,26055,0,184,683,1148,4222,2353,4781,3192,2563,2661,1554,1076,924,155,61,92,406,14438,11617,15415,1055,2541,797,6247,10714,15341,12188,13867,11176,3453,8669,4755,7163,9892,8555,949,495,14265,1654,3730,817,1602,3838,769,1389,2012,185,563,3440,4117,210,1101,969,305,0,8999,7669,2511,3343,344,1533,819,194,643,0,3255,22800,0,20000,26000
35,284,0,0,0,0,0,0,0,202,71,0,0,0,0,0,0,0,11,213,71,284,0,0,0,0,0,284,11,273,71,0,0,0,284,71,202,0,0,202,71,0,0,0,0,71,0,202,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,71,0,202,0,0,284,0,150000,150000
36,20713,0,33,161,1277,1469,2351,1598,2361,2856,2185,2796,1079,902,643,636,257,109,11137,9576,10377,754,2840,487,6255,9002,11711,11403,9310,7630,2306,5164,3481,8291,6647,6574,226,122,10679,803,2670,1357,1258,1446,1365,2151,1508,233,785,2380,2120,159,1475,636,102,0,8845,5590,1989,1386,102,548,493,1066,523,0,3112,17059,542,21000,27500
37,5714,0,0,393,148,274,586,1046,385,617,742,713,398,0,271,0,68,73,3655,2059,3248,268,1163,74,961,2227,3487,2183,3531,1373,369,729,1089,2986,1508,1487,0,0,2199,641,192,307,409,414,803,248,370,0,0,410,500,0,112,73,0,0,3381,344,404,414,0,239,628,0,304,0,728,4891,95,6000,40000
38,377,0,0,191,145,0,41,0,0,0,0,0,0,0,0,0,0,0,67,310,0,0,0,0,377,0,377,26,351,26,0,0,0,41,0,67,0,0,67,0,0,0,0,0,41,0,26,0,0,0,0,0,0,0,0,0,310,26,0,0,0,0,41,0,0,0,0,41,336,0,18000
39,4762,200,201,357,762,657,1090,430,361,175,242,0,0,225,62,0,0,0,2948,1814,1956,225,79,0,2502,1568,3194,604,4158,1986,62,889,694,1597,1609,1629,192,54,3786,0,0,74,238,203,217,241,130,0,1019,572,773,0,394,0,73,0,1866,1381,801,124,0,299,217,0,74,0,785,3849,128,25000,27000
40,126,0,0,0,43,83,0,0,0,0,0,0,0,0,0,0,0,0,126,0,83,0,0,0,43,0,126,0,126,43,0,83,0,0,0,126,0,0,126,0,0,0,83,0,0,0,0,0,0,0,0,0,43,0,0,0,0,83,0,0,0,43,0,0,0,0,0,83,43,14000,14000
41,2033,0,0,0,504,225,260,0,327,210,215,0,111,51,0,0,130,0,968,1065,483,52,937,0,561,880,1153,663,1370,332,335,0,414,780,884,494,92,0,1272,0,292,0,350,0,134,384,329,0,0,0,319,0,0,48,0,0,1028,593,191,0,0,48,52,0,51,0,0,1797,236,25000,25000
42,6054,0,0,458,414,355,1837,885,1000,236,689,180,0,0,0,0,0,0,3609,2445,4038,0,488,0,1528,1165,4889,1280,4774,3685,1588,785,508,2301,1513,2620,0,97,2970,143,1695,0,626,451,384,108,105,0,107,961,1801,143,0,33,89,0,1908,2294,368,451,0,107,245,330,296,0,1279,4641,134,20000,26000
44,524,0,0,0,0,0,77,82,253,0,0,112,0,0,0,0,0,0,330,194,524,0,0,0,0,219,305,300,224,142,0,274,138,112,194,253,0,0,447,0,0,0,0,194,0,0,56,0,0,0,197,0,0,0,0,0,77,253,0,194,0,0,0,0,0,0,77,447,0,18000,24000
45,3245,0,0,186,204,456,842,239,618,298,75,122,0,108,97,0,0,0,1975,1270,2317,97,104,11,716,891,2354,876,2369,991,478,484,797,1096,1068,1342,0,135,1303,169,956,176,349,485,122,140,174,0,550,275,323,0,139,47,0,135,1118,959,94,412,0,280,187,60,0,135,520,2706,19,10000,24000
47,434,0,0,0,0,56,145,169,0,0,64,0,0,0,0,0,0,0,209,225,314,0,64,0,56,0,434,0,434,169,0,0,0,434,56,209,0,0,201,233,0,0,169,0,145,0,0,0,56,0,64,0,0,0,0,0,265,169,0,0,0,0,0,0,0,0,0,434,0,42000,42000
48,19372,122,287,1119,2173,2721,2047,2424,2163,1118,2183,976,1080,555,189,142,73,0,11035,8337,11947,254,1111,168,5892,7233,12139,5083,14289,5881,994,1742,3345,9590,6362,5843,262,494,10564,1546,1005,560,1780,503,685,964,1906,271,1388,1462,2436,398,157,1480,245,0,11439,2907,1394,307,227,429,567,666,1327,109,1698,16355,1319,17200,34000
49,3070,0,0,0,231,143,1093,482,167,137,99,269,166,283,0,0,0,0,1576,1494,1961,0,345,289,475,1772,1298,1841,1229,547,0,334,845,1660,1177,1019,136,0,1698,324,297,37,0,31,224,0,698,37,788,14,399,0,0,165,0,0,944,469,222,31,0,1087,226,37,54,0,737,2333,0,10800,30200
50,74,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,74,0,74,0,0,0,0,74,0,74,0,0,0,0,74,0,0,0,0,0,74,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,74,0,14000,14000
51,7370,0,0,357,264,790,1548,844,523,1121,737,349,483,107,78,45,124,0,4579,2791,5182,247,593,132,1216,2362,5008,3247,4123,1258,115,1377,1752,3505,2615,2673,102,142,4941,441,526,67,252,203,936,442,159,90,0,362,1597,126,456,1312,40,102,3597,971,1072,73,29,490,638,269,129,102,810,6531,29,30000,40000
53,3941,0,0,995,342,196,647,207,551,225,360,118,82,136,82,0,0,0,2600,1341,1837,0,312,474,1318,448,3493,591,3350,819,67,1241,654,642,899,1148,0,562,1197,0,1186,0,721,116,0,70,0,68,156,139,1104,0,0,79,0,18,2115,841,659,116,72,0,0,120,0,18,1241,2351,349,6000,12500
54,213,0,0,87,0,0,43,0,0,0,0,0,0,83,0,0,0,0,213,0,43,0,83,0,87,126,87,83,130,0,0,0,83,43,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,213,0,0,0,0,0,0,0,0,0,87,126,0,40000,40000
55,1189,0,0,279,314,317,31,0,61,0,146,0,41,0,0,0,0,0,248,941,207,41,0,0,941,207,982,187,1002,410,0,187,317,92,31,248,0,61,761,0,0,61,264,0,207,0,41,0,177,0,0,0,133,0,0,0,398,305,72,0,0,146,207,61,0,0,0,279,910,0,4500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,